************************************************************************************************
*	RW CAS - LIST OF 126 O-C computed on GCVS ephemeris
*	HJD MAX = 2448899.304 + 14.79189 x E (GCVS)
*	Reference: Boistel, G., GEOS NOTE CIRCULAIRE NC1347 (2024)
*	Period Rate computed: -11.1 s/yr
*	CONTENTS:
*	col1: star name
*	col2: Time of maximum observed (HJD+2400000)
*	col3: period shift (see paper)
*	col4: number of cycle computed on GCVS ephemeris
*	col5: O-C computed on GCVS ephemeris
*	col6: type of photometry (un.=unknown; vis.=visual; V=Johnson V filter; B=Johnson B filter; pg=photographic; pe=photoelectric
*	Update : 07 july 2024 (C) GEOS/G. Boistel
*columns
*1	2		3	4	5	6	7	8		9
*************************************************************************************************
Star	JJ Max 
	(+2400000)	P shft	E GCVS	O-C 	Type Ph	Source	Reference	Observer
RW Cas	14988.475	1	-2291	-12.61	pg	ADS	Szabados 1981	Ceraski 1905
RW Cas	15210.900	1	-2276	-12.06	un.	BAV 	Meyer BAVJ 2023	un.
RW Cas	16913.376	1	-2161	-10.65	pg	ADS	Szabados 1981	Kukarkin 1932
RW Cas	17062.500	1	-2151	-9.45	vis	ADS	Grouiller BulLyo1922	Blazhko
RW Cas	17327.602	1	-2133	-10.60	vis	ADS	Szabados 1981	Blazhko
RW Cas	17461.950	1	-2124	-9.38	vis	ADS	Szabados 1981	Seares 1907
RW Cas	17565.095	1	-2117	-9.78	vis	ADS	Szabados 1981	Pracka 1909
RW Cas	17610.025	1	-2114	-9.22	vis	ADS	Szabados 1981	Hartwig 1910
RW Cas	17728.100	1	-2106	-9.48	un.	BAV 	Meyer BAVJ 2023	un.
RW Cas	17832.029	1	-2099	-9.10	vis	ADS	Szabados 1981	Graff 1921
RW Cas	18586.360	1	-2048	-9.15	un.	BAV 	Meyer BAVJ 2023	un.
RW Cas	18645.520	1	-2044	-9.16	un.	BAV 	Meyer BAVJ 2023	un.
RW Cas	18763.907	1	-2036	-9.11	pg	ADS	Szabados 1981	Whittacker et al
RW Cas	18926.830	1	-2025	-8.90	un.	BAV 	Meyer BAVJ 2023	un.
RW Cas	19651.734	1	-1976	-8.80	pg	ADS	Szabados 1981	Robinson 1933
